ID,Player,Top 7 Leagues,Goals per 90,xG per 90,Shots on target per 90,Shots on target %,Passes completed,Pass accuracy %,Possession %,Positional attacks per 90,Counter attacks per 90,Touches in the box per 90,Goals conceded per 90,SoT against per 90,Defensive duels per 90,Defensive duel %,Aerial duels per 90,Aerial duels %,Passes per possession,PPDA
43,Farense,Primeira Liga,1.39,1.27,4.39,40.73,253.76,78.26,42.86,22.63,1.82,11.97,1.53,5.84,70.24,57.29,46.42,42.06,3,12.15
44,Feyenoord,Eredivisie,2.31,2.43,6.9,38.58,468.04,86.8,58.85,37.19,1.48,30.73,0.85,2.92,64.25,66.25,31.69,49.64,5.17,9.19
45,Fiorentina,Serie A,1.59,1.77,4.91,33.99,415.11,86.35,59.21,34.77,0.91,22.98,1.2,3.7,57.91,63.24,43.07,46.52,4.7,9.12
46,Fortuna Sittard,Eredivisie,1.08,1.42,4.56,34.97,271.31,78.83,43.64,29.06,1.64,18.28,1.58,4.53,70.92,63.77,46.03,48.46,3.27,11.82
47,Freiburg,Bundesliga,1.51,1.74,4.69,39.15,372.67,84.14,49.13,27.11,1.31,18.02,1.64,4.42,64.8,62.17,45.36,43.66,4.45,12.95
48,Frosinone,Serie A,1.21,1.33,4.26,36.98,339.81,83.35,48.64,26.38,1.76,15.33,1.76,4.9,64.57,58.55,36.71,42.41,3.84,11.65
49,Fulham,Premier League,1.41,1.51,4.39,35.88,399.2,84.31,50.05,27.09,2.3,20.59,1.52,5.02,69.7,62.04,31.65,45.47,4.72,13.17
50,Genoa,Serie A,1.24,1.26,3.41,34.91,307.8,81.92,45.18,24.41,1.39,13.29,1.22,3.78,70.76,61.6,39.22,49.25,3.87,13.28
51,Getafe,La Liga,1.12,1.24,4.02,35.95,268.05,78.57,46.29,27.46,1.24,14.56,1.41,4.76,67.56,58.19,44.9,45.63,3.21,9.45
52,Gil Vicente,Primeira Liga,1.26,1.23,4,38.42,349.05,82.9,50.58,26.1,1.23,14.92,1.49,4.46,67.08,59.56,34.28,45.03,3.99,11.94
53,Girona,La Liga,2.3,1.99,5.07,40.82,467.26,88.38,57.7,28.21,1.63,23.02,1.23,4.72,60.95,59.94,26.3,45.18,5.51,11.29
54,Go Ahead Eagles,Eredivisie,1.39,1.63,5.67,41.46,308,80.79,44.46,29.22,1.39,20.75,1.36,4.97,64.39,60.61,36.86,40.32,3.62,13.25
55,Granada,La Liga,1.05,1.25,3.49,34.96,300.62,81.3,46.63,23.38,1.59,15.15,2.03,5.74,73.62,62.63,34.72,41.95,3.51,11.48
56,Heerenveen,Eredivisie,1.61,1.59,4.97,37.06,369.58,84.47,50.75,28.83,1.5,20.44,2,5.03,62.75,61.4,34.36,44.14,4.34,12.83
57,Heidenheim,Bundesliga,1.66,1.57,3.94,35.38,291.71,78.48,42.78,27.86,2.11,16.51,1.63,5.2,80,63.36,46.66,47.64,3.44,13.2
58,Hellas Verona,Serie A,1.03,1.25,4.08,37.39,263,79.36,45.22,25.98,1.58,13.45,1.35,4.4,72.4,61.5,44.7,50.84,3.21,10.62
59,Heracles,Eredivisie,1.17,1.38,3.57,35.92,308.91,81.42,47.96,24.54,1.86,14.4,2.17,6.71,74.23,60.59,31.11,44.17,3.66,14.12
60,Hoffenheim,Bundesliga,1.94,1.67,5.17,39.16,375.61,83.48,49.72,28.81,1.94,19.47,1.89,6.36,65.56,60,36.44,48.63,4.3,12.86
61,Internazionale,Serie A,2.12,2.09,5.39,36.77,482.2,88.36,54.56,28.08,2.59,23.45,0.63,3.04,59.31,61.94,31.29,49.71,5.81,11.64
62,Juventus,Serie A,1.58,1.66,4.26,33.03,365.07,85.43,48.18,27.49,2.14,19.4,0.79,3.07,60.47,62.04,33.07,47.68,4.5,12.81
63,Köln,Bundesliga,0.94,1.36,4.14,34.61,325.54,80.43,48.36,28.11,2.14,16.4,1.8,5,68.69,61.44,41.97,47.45,3.74,13.45
64,Las Palmas,La Liga,0.93,0.99,3.39,33.66,487.12,86.58,58.41,27.68,0.59,14.41,1.22,4.27,67.63,62.28,29.22,43.82,5.33,9.37
65,Lazio,Serie A,1.2,1.4,3.45,32.47,434.02,86.64,50.25,26.39,2,16.61,1.08,3.94,63.94,57.5,28.71,41.87,5.18,14.49
66,Le Havre,Ligue 1,1.03,1.27,3.51,34.3,339.76,83.44,45.1,25.73,1.92,14.84,1.32,4.92,67.84,59.72,35.73,43.95,4.1,13.54
67,Lecce,Serie A,0.88,1.35,4.15,32.61,291.73,82.11,46.97,25.63,1.75,14.58,1.45,4.73,71.4,61.52,37.8,43.58,3.43,11.35
68,Lens,Ligue 1,1.28,1.56,4.65,36.76,402.53,84.2,50.52,30.28,1.95,20.33,1.23,4.53,67.23,60.46,32.72,46.34,4.56,11
69,Lille,Ligue 1,1.76,1.88,5.41,42.33,468.9,87.4,58.14,30.71,1.49,21.51,0.9,3.84,64.92,59.26,28.76,48.05,5.3,10.35
