95,Arouca,Primeira Liga,0.96,1.23,3.54,33.33,345.73,82.63,50.48,25.0,1.15,13.92,1.5,4.12,69.92,58.8,31.96,44.28,4.03,11.14
96,AVS ,Primeira Liga,0.77,1.0,2.65,28.75,289.15,80.93,43.83,24.88,0.38,10.85,1.42,4.85,66.19,59.44,38.5,46.85,3.44,13.7
97,Benfica,Primeira Liga,1.93,2.23,6.64,40.61,436.86,84.6,60.43,40.14,0.57,27.5,0.93,3.36,62.21,64.29,30.86,52.78,4.79,8.65
98,Boavista,Primeira Liga,0.64,1.1,3.16,31.47,234.36,76.61,39.61,23.52,0.88,11.0,1.6,4.6,64.88,60.67,37.4,42.35,2.98,13.66
99,Casa Pia AC,Primeira Liga,1.23,1.04,3.15,33.47,286.58,79.83,46.63,23.96,0.65,12.96,1.35,5.15,62.96,59.32,38.88,45.8,3.62,11.74
100,Estoril,Primeira Liga,1.36,1.12,3.4,34.98,322.84,82.86,48.78,24.88,0.76,13.16,1.52,4.56,70.56,62.02,38.36,43.07,3.8,11.05
101,Estrela Amadora,Primeira Liga,0.84,0.93,2.76,31.22,249.88,78.51,45.5,22.28,0.8,10.48,1.48,4.32,67.08,60.82,40.56,45.07,2.99,10.52
102,Famalicão,Primeira Liga,1.16,1.16,3.92,34.75,320.28,81.5,51.72,26.44,1.24,14.44,1.0,4.0,68.56,62.72,38.4,50.31,3.65,11.0
103,Farense,Primeira Liga,0.65,0.9,3.23,31.82,215.0,76.27,41.42,23.69,0.88,12.77,1.42,4.65,77.38,60.44,44.73,45.14,2.72,10.37
104,Gil Vicente,Primeira Liga,0.96,1.02,2.67,30.33,362.17,83.77,52.47,22.75,0.29,14.17,1.33,3.92,62.75,63.94,33.42,48.13,4.33,11.29
105,Moreirense,Primeira Liga,1.16,1.07,3.68,35.94,319.36,82.56,47.99,24.04,1.04,12.56,1.36,3.96,66.08,62.11,40.28,42.8,3.76,10.48
106,Nacional,Primeira Liga,1.04,1.16,3.88,32.66,258.12,79.14,47.9,23.56,0.72,12.92,1.32,4.36,67.44,59.55,39.68,43.75,3.14,10.81
107,Porto,Primeira Liga,2.0,2.03,5.64,39.61,447.44,86.71,62.3,33.36,1.04,22.56,0.64,2.36,58.92,61.24,33.72,47.92,5.38,7.32
108,Rio Ave,Primeira Liga,1.12,1.0,3.35,35.66,311.5,80.85,46.88,23.19,0.69,12.19,1.65,5.69,71.04,62.21,30.92,45.65,3.6,11.86
109,Santa Clara,Primeira Liga,1.04,1.34,3.48,33.98,267.6,78.68,46.23,25.04,0.72,13.32,0.84,3.2,65.96,61.86,40.92,49.56,3.34,9.94
110,Sporting Braga,Primeira Liga,1.6,1.63,5.12,41.69,418.12,84.03,56.85,33.64,0.68,20.48,0.84,3.96,67.76,60.45,34.92,45.82,4.65,8.4
111,Sporting CP,Primeira Liga,2.69,2.44,6.54,36.48,459.73,88.1,60.82,36.58,1.54,30.42,0.88,2.54,59.42,62.85,27.12,50.35,5.21,9.1
112,Vitória Guimarães,Primeira Liga,1.44,1.61,4.6,36.74,384.96,83.78,55.24,33.72,0.76,18.72,1.04,2.84,61.84,63.32,36.84,44.41,4.34,8.28
113,Athletic Bilbao,La Liga,1.64,1.56,4.5,36.52,340.89,82.63,48.79,33.14,0.89,18.04,0.86,3.07,64.57,60.79,32.96,44.53,3.98,11.46
114,Atlético Madrid,La Liga,1.64,1.51,4.43,39.62,426.18,85.48,49.87,28.54,1.07,19.5,0.79,3.29,64.79,62.95,30.75,49.01,5.08,14.8
115,Barcelona,La Liga,2.78,2.32,6.41,39.59,530.67,88.2,65.84,33.81,1.81,27.3,1.0,3.07,54.26,64.16,24.0,49.69,5.91,7.51
116,Celta de Vigo,La Liga,1.46,1.35,4.11,40.49,440.54,85.68,51.72,27.79,0.86,16.82,1.46,4.04,69.64,60.51,27.32,45.49,5.22,12.13
117,Deportivo Alavés,La Liga,1.14,1.21,3.5,37.55,252.61,77.39,45.39,25.64,0.71,14.61,1.5,3.96,74.46,63.88,44.68,41.73,3.18,10.99
118,Espanyol,La Liga,0.96,0.78,2.22,28.04,248.78,78.75,39.29,19.3,1.19,11.26,1.44,5.22,76.74,60.09,33.3,46.16,3.36,15.58
